obj,label,input,tar
h,"['t', 'hm', 'e']","['t', 'h', 'e']",hm
d,"['a', 'n', 'dt']","['a', 'n', 'd']",dt
f,"['fb', 'o', 'r']","['f', 'o', 'r']",fb
h,"['t', 'hm', 'a', 't']","['t', 'h', 'a', 't']",hm
h,"['t', 'hy', 'i', 's']","['t', 'h', 'i', 's']",hy
t,"['w', 'i', 'te', 'h']","['w', 'i', 't', 'h']",te
o,"['y', 'ob', 'u']","['y', 'o', 'u']",ob
n,"['nz', 'o', 't']","['n', 'o', 't']",nz
r,"['a', 'rj', 'e']","['a', 'r', 'e']",rj
f,"['fi', 'r', 'o', 'm']","['f', 'r', 'o', 'm']",fi
o,"['y', 'og', 'u', 'r']","['y', 'o', 'u', 'r']",og
l,"['a', 'lz', 'lz']","['a', 'l', 'l']",lz
v,"['h', 'a', 'vw', 'e']","['h', 'a', 'v', 'e']",vw
w,"['n', 'e', 'wa']","['n', 'e', 'w']",wa
m,"['my', 'o', 'r', 'e']","['m', 'o', 'r', 'e']",my
s,"['w', 'a', 'sc']","['w', 'a', 's']",sc
l,"['w', 'i', 'lv', 'lv']","['w', 'i', 'l', 'l']",lv
o,"['h', 'ou', 'm', 'e']","['h', 'o', 'm', 'e']",ou
c,"['cg', 'a', 'n']","['c', 'a', 'n']",cg
a,"['ao', 'b', 'o', 'u', 't']","['a', 'b', 'o', 'u', 't']",ao
g,"['p', 'a', 'gp', 'e']","['p', 'a', 'g', 'e']",gp
a,"['h', 'as', 's']","['h', 'a', 's']",as
c,"['s', 'e', 'a', 'r', 'cn', 'h']","['s', 'e', 'a', 'r', 'c', 'h']",cn
f,"['fw', 'r', 'e', 'e']","['f', 'r', 'e', 'e']",fw
u,"['b', 'uf', 't']","['b', 'u', 't']",uf
r,"['o', 'u', 'ru']","['o', 'u', 'r']",ru
o,"['oi', 'n', 'e']","['o', 'n', 'e']",oi
o,"['ov', 't', 'h', 'e', 'r']","['o', 't', 'h', 'e', 'r']",ov
r,"['i', 'n', 'f', 'o', 'rw', 'm', 'a', 't', 'i', 'o', 'n']","['i', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'i', 'o', 'n']",rw
m,"['t', 'i', 'mf', 'e']","['t', 'i', 'm', 'e']",mf
t,"['tq', 'h', 'e', 'y']","['t', 'h', 'e', 'y']",tq
t,"['s', 'i', 'tr', 'e']","['s', 'i', 't', 'e']",tr
a,"['m', 'as', 'y']","['m', 'a', 'y']",as
w,"['wo', 'h', 'a', 't']","['w', 'h', 'a', 't']",wo
h,"['w', 'hx', 'i', 'c', 'hx']","['w', 'h', 'i', 'c', 'h']",hx
i,"['t', 'h', 'e', 'ib', 'r']","['t', 'h', 'e', 'i', 'r']",ib
s,"['n', 'e', 'w', 'sl']","['n', 'e', 'w', 's']",sl
o,"['og', 'u', 't']","['o', 'u', 't']",og
e,"['u', 's', 'ef']","['u', 's', 'e']",ef
y,"['a', 'n', 'yg']","['a', 'n', 'y']",yg
t,"['tg', 'h', 'e', 'r', 'e']","['t', 'h', 'e', 'r', 'e']",tg
s,"['ss', 'e', 'e']","['s', 'e', 'e']",ss
n,"['o', 'no', 'l', 'y']","['o', 'n', 'l', 'y']",no
h,"['hi', 'i', 's']","['h', 'i', 's']",hi
n,"['w', 'h', 'e', 'nv']","['w', 'h', 'e', 'n']",nv
c,"['cz', 'o', 'n', 't', 'a', 'cz', 't']","['c', 'o', 'n', 't', 'a', 'c', 't']",cz
r,"['h', 'e', 'rq', 'e']","['h', 'e', 'r', 'e']",rq
i,"['b', 'u', 's', 'it', 'n', 'e', 's', 's']","['b', 'u', 's', 'i', 'n', 'e', 's', 's']",it
o,"['w', 'h', 'oa']","['w', 'h', 'o']",oa
w,"['wy', 'e', 'b']","['w', 'e', 'b']",wy
o,"['a', 'l', 's', 'ox']","['a', 'l', 's', 'o']",ox
n,"['nk', 'o', 'w']","['n', 'o', 'w']",nk
l,"['h', 'e', 'lx', 'p']","['h', 'e', 'l', 'p']",lx
e,"['g', 'ef', 't']","['g', 'e', 't']",ef
v,"['vp', 'i', 'e', 'w']","['v', 'i', 'e', 'w']",vp
e,"['o', 'n', 'l', 'i', 'n', 'eq']","['o', 'n', 'l', 'i', 'n', 'e']",eq
s,"['f', 'i', 'r', 'sd', 't']","['f', 'i', 'r', 's', 't']",sd
b,"['bp', 'e', 'e', 'n']","['b', 'e', 'e', 'n']",bp
l,"['w', 'o', 'u', 'ly', 'd']","['w', 'o', 'u', 'l', 'd']",ly
o,"['h', 'ox', 'w']","['h', 'o', 'w']",ox
w,"['wi', 'e', 'r', 'e']","['w', 'e', 'r', 'e']",wi
i,"['s', 'e', 'r', 'v', 'iy', 'c', 'e', 's']","['s', 'e', 'r', 'v', 'i', 'c', 'e', 's']",iy
o,"['s', 'ou', 'm', 'e']","['s', 'o', 'm', 'e']",ou
t,"['tq', 'h', 'e', 's', 'e']","['t', 'h', 'e', 's', 'e']",tq
i,"['c', 'l', 'in', 'c', 'k']","['c', 'l', 'i', 'c', 'k']",in
s,"['i', 't', 'sl']","['i', 't', 's']",sl
e,"['l', 'i', 'k', 'er']","['l', 'i', 'k', 'e']",er
s,"['ss', 'e', 'r', 'v', 'i', 'c', 'e']","['s', 'e', 'r', 'v', 'i', 'c', 'e']",ss
a,"['t', 'h', 'av', 'n']","['t', 'h', 'a', 'n']",av
n,"['f', 'i', 'nt', 'd']","['f', 'i', 'n', 'd']",nt
r,"['p', 'rs', 'i', 'c', 'e']","['p', 'r', 'i', 'c', 'e']",rs
t,"['d', 'a', 'tf', 'e']","['d', 'a', 't', 'e']",tf
b,"['bt', 'a', 'c', 'k']","['b', 'a', 'c', 'k']",bt
p,"['t', 'o', 'pn']","['t', 'o', 'p']",pn
o,"['p', 'e', 'ou', 'p', 'l', 'e']","['p', 'e', 'o', 'p', 'l', 'e']",ou
a,"['h', 'ai', 'd']","['h', 'a', 'd']",ai
l,"['ll', 'i', 's', 't']","['l', 'i', 's', 't']",ll
e,"['n', 'a', 'm', 'ex']","['n', 'a', 'm', 'e']",ex
j,"['jl', 'u', 's', 't']","['j', 'u', 's', 't']",jl
r,"['o', 'v', 'e', 'ri']","['o', 'v', 'e', 'r']",ri
t,"['s', 'tq', 'a', 'tq', 'e']","['s', 't', 'a', 't', 'e']",tq
r,"['y', 'e', 'a', 'rf']","['y', 'e', 'a', 'r']",rf
d,"['dy', 'a', 'y']","['d', 'a', 'y']",dy
n,"['i', 'nw', 't', 'o']","['i', 'n', 't', 'o']",nw
m,"['e', 'ma', 'a', 'i', 'l']","['e', 'm', 'a', 'i', 'l']",ma
t,"['tg', 'w', 'o']","['t', 'w', 'o']",tg
t,"['h', 'e', 'a', 'l', 'ti', 'h']","['h', 'e', 'a', 'l', 't', 'h']",ti
d,"['w', 'o', 'r', 'l', 'dp']","['w', 'o', 'r', 'l', 'd']",dp
n,"['nr', 'e', 'x', 't']","['n', 'e', 'x', 't']",nr
s,"['u', 'su', 'e', 'd']","['u', 's', 'e', 'd']",su
o,"['w', 'oc', 'r', 'k']","['w', 'o', 'r', 'k']",oc
a,"['l', 'ah', 's', 't']","['l', 'a', 's', 't']",ah
s,"['m', 'o', 'sb', 't']","['m', 'o', 's', 't']",sb
