obj,tar,input,label
h,c,"['t', 'h', 'e']","['t', 'c', 'e']"
n,d,"['a', 'n', 'd']","['a', 'd', 'd']"
f,a,"['f', 'o', 'r']","['a', 'o', 'r']"
t,c,"['t', 'h', 'a', 't']","['c', 'h', 'a', 'c']"
h,g,"['t', 'h', 'i', 's']","['t', 'g', 'i', 's']"
i,w,"['w', 'i', 't', 'h']","['w', 'w', 't', 'h']"
o,a,"['y', 'o', 'u']","['y', 'a', 'u']"
o,p,"['n', 'o', 't']","['n', 'p', 't']"
a,u,"['a', 'r', 'e']","['u', 'r', 'e']"
m,j,"['f', 'r', 'o', 'm']","['f', 'r', 'o', 'j']"
u,i,"['y', 'o', 'u', 'r']","['y', 'o', 'i', 'r']"
a,p,"['a', 'l', 'l']","['p', 'l', 'l']"
a,f,"['h', 'a', 'v', 'e']","['h', 'f', 'v', 'e']"
w,r,"['n', 'e', 'w']","['n', 'e', 'r']"
o,g,"['m', 'o', 'r', 'e']","['m', 'g', 'r', 'e']"
s,x,"['w', 'a', 's']","['w', 'a', 'x']"
w,s,"['w', 'i', 'l', 'l']","['s', 'i', 'l', 'l']"
m,e,"['h', 'o', 'm', 'e']","['h', 'o', 'e', 'e']"
n,i,"['c', 'a', 'n']","['c', 'a', 'i']"
u,v,"['a', 'b', 'o', 'u', 't']","['a', 'b', 'o', 'v', 't']"
a,m,"['p', 'a', 'g', 'e']","['p', 'm', 'g', 'e']"
s,h,"['h', 'a', 's']","['h', 'a', 'h']"
r,t,"['s', 'e', 'a', 'r', 'c', 'h']","['s', 'e', 'a', 't', 'c', 'h']"
f,f,"['f', 'r', 'e', 'e']","['f', 'r', 'e', 'e']"
t,b,"['b', 'u', 't']","['b', 'u', 'b']"
o,e,"['o', 'u', 'r']","['e', 'u', 'r']"
n,j,"['o', 'n', 'e']","['o', 'j', 'e']"
t,s,"['o', 't', 'h', 'e', 'r']","['o', 's', 'h', 'e', 'r']"
i,f,"['i', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'i', 'o', 'n']","['f', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'f', 'o', 'n']"
t,b,"['t', 'i', 'm', 'e']","['b', 'i', 'm', 'e']"
h,z,"['t', 'h', 'e', 'y']","['t', 'z', 'e', 'y']"
i,l,"['s', 'i', 't', 'e']","['s', 'l', 't', 'e']"
y,h,"['m', 'a', 'y']","['m', 'a', 'h']"
a,v,"['w', 'h', 'a', 't']","['w', 'h', 'v', 't']"
c,n,"['w', 'h', 'i', 'c', 'h']","['w', 'h', 'i', 'n', 'h']"
h,a,"['t', 'h', 'e', 'i', 'r']","['t', 'a', 'e', 'i', 'r']"
s,q,"['n', 'e', 'w', 's']","['n', 'e', 'w', 'q']"
t,i,"['o', 'u', 't']","['o', 'u', 'i']"
u,b,"['u', 's', 'e']","['b', 's', 'e']"
n,i,"['a', 'n', 'y']","['a', 'i', 'y']"
t,i,"['t', 'h', 'e', 'r', 'e']","['i', 'h', 'e', 'r', 'e']"
e,h,"['s', 'e', 'e']","['s', 'h', 'h']"
o,v,"['o', 'n', 'l', 'y']","['v', 'n', 'l', 'y']"
h,j,"['h', 'i', 's']","['j', 'i', 's']"
h,s,"['w', 'h', 'e', 'n']","['w', 's', 'e', 'n']"
a,p,"['c', 'o', 'n', 't', 'a', 'c', 't']","['c', 'o', 'n', 't', 'p', 'c', 't']"
r,z,"['h', 'e', 'r', 'e']","['h', 'e', 'z', 'e']"
u,d,"['b', 'u', 's', 'i', 'n', 'e', 's', 's']","['b', 'd', 's', 'i', 'n', 'e', 's', 's']"
h,r,"['w', 'h', 'o']","['w', 'r', 'o']"
b,g,"['w', 'e', 'b']","['w', 'e', 'g']"
o,n,"['a', 'l', 's', 'o']","['a', 'l', 's', 'n']"
o,o,"['n', 'o', 'w']","['n', 'o', 'w']"
e,n,"['h', 'e', 'l', 'p']","['h', 'n', 'l', 'p']"
e,b,"['g', 'e', 't']","['g', 'b', 't']"
i,m,"['v', 'i', 'e', 'w']","['v', 'm', 'e', 'w']"
e,z,"['o', 'n', 'l', 'i', 'n', 'e']","['o', 'n', 'l', 'i', 'n', 'z']"
s,y,"['f', 'i', 'r', 's', 't']","['f', 'i', 'r', 'y', 't']"
n,m,"['b', 'e', 'e', 'n']","['b', 'e', 'e', 'm']"
o,g,"['w', 'o', 'u', 'l', 'd']","['w', 'g', 'u', 'l', 'd']"
h,n,"['h', 'o', 'w']","['n', 'o', 'w']"
r,j,"['w', 'e', 'r', 'e']","['w', 'e', 'j', 'e']"
c,g,"['s', 'e', 'r', 'v', 'i', 'c', 'e', 's']","['s', 'e', 'r', 'v', 'i', 'g', 'e', 's']"
s,e,"['s', 'o', 'm', 'e']","['e', 'o', 'm', 'e']"
h,z,"['t', 'h', 'e', 's', 'e']","['t', 'z', 'e', 's', 'e']"
i,t,"['c', 'l', 'i', 'c', 'k']","['c', 'l', 't', 'c', 'k']"
s,q,"['i', 't', 's']","['i', 't', 'q']"
i,l,"['l', 'i', 'k', 'e']","['l', 'l', 'k', 'e']"
e,h,"['s', 'e', 'r', 'v', 'i', 'c', 'e']","['s', 'h', 'r', 'v', 'i', 'c', 'h']"
h,s,"['t', 'h', 'a', 'n']","['t', 's', 'a', 'n']"
d,d,"['f', 'i', 'n', 'd']","['f', 'i', 'n', 'd']"
p,h,"['p', 'r', 'i', 'c', 'e']","['h', 'r', 'i', 'c', 'e']"
t,b,"['d', 'a', 't', 'e']","['d', 'a', 'b', 'e']"
a,d,"['b', 'a', 'c', 'k']","['b', 'd', 'c', 'k']"
o,t,"['t', 'o', 'p']","['t', 't', 'p']"
l,e,"['p', 'e', 'o', 'p', 'l', 'e']","['p', 'e', 'o', 'p', 'e', 'e']"
d,j,"['h', 'a', 'd']","['h', 'a', 'j']"
s,q,"['l', 'i', 's', 't']","['l', 'i', 'q', 't']"
m,n,"['n', 'a', 'm', 'e']","['n', 'a', 'n', 'e']"
t,q,"['j', 'u', 's', 't']","['j', 'u', 's', 'q']"
o,j,"['o', 'v', 'e', 'r']","['j', 'v', 'e', 'r']"
t,z,"['s', 't', 'a', 't', 'e']","['s', 'z', 'a', 'z', 'e']"
a,b,"['y', 'e', 'a', 'r']","['y', 'e', 'b', 'r']"
d,g,"['d', 'a', 'y']","['g', 'a', 'y']"
o,f,"['i', 'n', 't', 'o']","['i', 'n', 't', 'f']"
a,r,"['e', 'm', 'a', 'i', 'l']","['e', 'm', 'r', 'i', 'l']"
t,i,"['t', 'w', 'o']","['i', 'w', 'o']"
t,j,"['h', 'e', 'a', 'l', 't', 'h']","['h', 'e', 'a', 'l', 'j', 'h']"
r,m,"['w', 'o', 'r', 'l', 'd']","['w', 'o', 'm', 'l', 'd']"
t,l,"['n', 'e', 'x', 't']","['n', 'e', 'x', 'l']"
s,e,"['u', 's', 'e', 'd']","['u', 'e', 'e', 'd']"
w,x,"['w', 'o', 'r', 'k']","['x', 'o', 'r', 'k']"
l,k,"['l', 'a', 's', 't']","['k', 'a', 's', 't']"
s,a,"['m', 'o', 's', 't']","['m', 'o', 'a', 't']"
t,d,"['p', 'r', 'o', 'd', 'u', 'c', 't', 's']","['p', 'r', 'o', 'd', 'u', 'c', 'd', 's']"
c,b,"['m', 'u', 's', 'i', 'c']","['m', 'u', 's', 'i', 'b']"
u,z,"['b', 'u', 'y']","['b', 'z', 'y']"
a,x,"['d', 'a', 't', 'a']","['d', 'x', 't', 'x']"
k,g,"['m', 'a', 'k', 'e']","['m', 'a', 'g', 'e']"
m,b,"['t', 'h', 'e', 'm']","['t', 'h', 'e', 'b']"
d,u,"['s', 'h', 'o', 'u', 'l', 'd']","['s', 'h', 'o', 'u', 'l', 'u']"
u,h,"['p', 'r', 'o', 'd', 'u', 'c', 't']","['p', 'r', 'o', 'd', 'h', 'c', 't']"
s,k,"['s', 'y', 's', 't', 'e', 'm']","['k', 'y', 'k', 't', 'e', 'm']"
s,s,"['p', 'o', 's', 't']","['p', 'o', 's', 't']"
e,q,"['h', 'e', 'r']","['h', 'q', 'r']"
i,v,"['c', 'i', 't', 'y']","['c', 'v', 't', 'y']"
d,t,"['a', 'd', 'd']","['a', 't', 't']"
c,r,"['p', 'o', 'l', 'i', 'c', 'y']","['p', 'o', 'l', 'i', 'r', 'y']"
m,w,"['n', 'u', 'm', 'b', 'e', 'r']","['n', 'u', 'w', 'b', 'e', 'r']"
h,p,"['s', 'u', 'c', 'h']","['s', 'u', 'c', 'p']"
s,c,"['p', 'l', 'e', 'a', 's', 'e']","['p', 'l', 'e', 'a', 'c', 'e']"
l,o,"['a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'e']","['a', 'v', 'a', 'i', 'o', 'a', 'b', 'o', 'e']"
r,b,"['c', 'o', 'p', 'y', 'r', 'i', 'g', 'h', 't']","['c', 'o', 'p', 'y', 'b', 'i', 'g', 'h', 't']"
u,v,"['s', 'u', 'p', 'p', 'o', 'r', 't']","['s', 'v', 'p', 'p', 'o', 'r', 't']"
s,n,"['m', 'e', 's', 's', 'a', 'g', 'e']","['m', 'e', 'n', 'n', 'a', 'g', 'e']"
r,f,"['a', 'f', 't', 'e', 'r']","['a', 'f', 't', 'e', 'f']"
s,i,"['b', 'e', 's', 't']","['b', 'e', 'i', 't']"
a,o,"['s', 'o', 'f', 't', 'w', 'a', 'r', 'e']","['s', 'o', 'f', 't', 'w', 'o', 'r', 'e']"
e,u,"['t', 'h', 'e', 'n']","['t', 'h', 'u', 'n']"
j,x,"['j', 'a', 'n']","['x', 'a', 'n']"
d,p,"['g', 'o', 'o', 'd']","['g', 'o', 'o', 'p']"
e,x,"['v', 'i', 'd', 'e', 'o']","['v', 'i', 'd', 'x', 'o']"
w,e,"['w', 'e', 'l', 'l']","['e', 'e', 'l', 'l']"
