label,input
tce,"['t', 'c', 'e']"
add,"['a', 'd', 'd']"
aor,"['a', 'o', 'r']"
chac,"['c', 'h', 'a', 'c']"
tgis,"['t', 'g', 'i', 's']"
wwth,"['w', 'w', 't', 'h']"
yau,"['y', 'a', 'u']"
npt,"['n', 'p', 't']"
ure,"['u', 'r', 'e']"
froj,"['f', 'r', 'o', 'j']"
yoir,"['y', 'o', 'i', 'r']"
pll,"['p', 'l', 'l']"
hfve,"['h', 'f', 'v', 'e']"
ner,"['n', 'e', 'r']"
mgre,"['m', 'g', 'r', 'e']"
wax,"['w', 'a', 'x']"
sill,"['s', 'i', 'l', 'l']"
hoee,"['h', 'o', 'e', 'e']"
cai,"['c', 'a', 'i']"
abovt,"['a', 'b', 'o', 'v', 't']"
pmge,"['p', 'm', 'g', 'e']"
hah,"['h', 'a', 'h']"
seatch,"['s', 'e', 'a', 't', 'c', 'h']"
free,"['f', 'r', 'e', 'e']"
bub,"['b', 'u', 'b']"
eur,"['e', 'u', 'r']"
oje,"['o', 'j', 'e']"
osher,"['o', 's', 'h', 'e', 'r']"
fnformatfon,"['f', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'f', 'o', 'n']"
bime,"['b', 'i', 'm', 'e']"
tzey,"['t', 'z', 'e', 'y']"
slte,"['s', 'l', 't', 'e']"
mah,"['m', 'a', 'h']"
whvt,"['w', 'h', 'v', 't']"
whinh,"['w', 'h', 'i', 'n', 'h']"
taeir,"['t', 'a', 'e', 'i', 'r']"
newq,"['n', 'e', 'w', 'q']"
oui,"['o', 'u', 'i']"
bse,"['b', 's', 'e']"
aiy,"['a', 'i', 'y']"
ihere,"['i', 'h', 'e', 'r', 'e']"
shh,"['s', 'h', 'h']"
vnly,"['v', 'n', 'l', 'y']"
jis,"['j', 'i', 's']"
wsen,"['w', 's', 'e', 'n']"
contpct,"['c', 'o', 'n', 't', 'p', 'c', 't']"
heze,"['h', 'e', 'z', 'e']"
bdsiness,"['b', 'd', 's', 'i', 'n', 'e', 's', 's']"
wro,"['w', 'r', 'o']"
weg,"['w', 'e', 'g']"
alsn,"['a', 'l', 's', 'n']"
now,"['n', 'o', 'w']"
hnlp,"['h', 'n', 'l', 'p']"
gbt,"['g', 'b', 't']"
vmew,"['v', 'm', 'e', 'w']"
onlinz,"['o', 'n', 'l', 'i', 'n', 'z']"
