input,del,ins,sub,label
search,h,"('s', 'a')","('c', 'i')",saeari
information,o,"('r', 'e')","('n', 'v')",ivfremativ
contact,c,"('t', 'c')","('a', 'n')",ontcntc
business,b,"('u', 'c')","('i', 'h')",ucshness
online,n,"('o', 'r')","('r', 'w')",owlie
services,e,"('r', 'o')","('i', 'i')",srovics
service,e,"('s', 'y')","('y', 'w')",swrvic
people,p,"('l', 'i')","('o', 'g')",eglie
health,a,"('h', 'c')","('l', 'd')",hcedthc
products,c,"('s', 'l')","('u', 'z')",prodztsl
should,s,"('l', 'r')","('h', 'm')",moulrd
product,p,"('c', 'j')","('t', 'u')",roducju
system,e,"('s', 's')","('s', 'w')",wwywwtm
policy,p,"('o', 'v')","('v', 'y')",oylicy
number,m,"('n', 'h')","('n', 'm')",mhuber
please,e,"('s', 'u')","('a', 'f')",plfsu
available,a,"('l', 'g')","('b', 'w')",vilgwlge
copyright,o,"('y', 'r')","('r', 'f')",cpyffight
support,p,"('r', 'i')","('t', 'w')",suoriw
message,a,"('e', 'v')","('g', 'y')",mevssyev
software,s,"('f', 'b')","('a', 'm')",ofbtwmre
rights,g,"('r', 'g')","('t', 'w')",rgihws
public,b,"('u', 'u')","('l', 'm')",puumic
school,l,"('o', 'e')","('h', 'e')",sceoeoe
through,h,"('g', 'r')","('o', 'x')",trxugr
review,e,"('w', 's')","('w', 'l')",rvils
privacy,r,"('i', 'q')","('v', 'c')",piqcacy
company,y,"('c', 'd')","('d', 'u')",cuompan
general,e,"('a', 't')","('g', 'm')",mnratl
research,c,"('a', 'o')","('a', 'r')",reserorh
university,u,"('i', 'v')","('v', 'y')",niyyersiyty
january,n,"('y', 'k')","('j', 'j')",jauaryk
reviews,i,"('e', 'o')","('r', 'x')",xeoveows
program,a,"('o', 'q')","('m', 'f')",proqgrf
management,n,"('a', 'u')","('u', 'u')",mauaugemet
united,e,"('d', 'g')","('n', 'l')",ulitdg
international,l,"('t', 'r')","('n', 'q')",iqtrerqatrioqa
center,c,"('r', 'k')","('e', 'a')",antark
travel,t,"('v', 'z')","('v', 'h')",rahzel
